Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_0_of_Layer_1
0,449701 -0,451926 0,950544 0,999926 -0,974004 0,948565 0,956707 -0,453012 0,452818 0,467798 -0,941063 -0,452729 0,453605 -0,985365 0,974036 -0,450464 0,950935 0,950709 -0,452058 0,447516 0,753300
0,385462 -0,390059 0,898715 0,999231 -0,927571 0,890511 0,901194 -0,390733 0,389080 0,411809 -0,893597 -0,388870 0,392751 -0,968158 0,930356 -0,386385 0,900057 0,897257 -0,389470 0,384029 0,876582
0,347507 -0,355249 0,853458 0,996837 -0,872949 0,835556 0,847596 -0,355280 0,351772 0,381297 -0,845010 -0,351435 0,358914 -0,948250 0,878105 -0,348701 0,855620 0,845754 -0,353734 0,345223 0,902766
0,154900 -0,158627 0,513067 0,866647 -0,494050 0,442942 0,474308 -0,160024 0,159003 0,184023 -0,477308 -0,158802 0,161229 -0,649438 0,501401 -0,155887 0,519580 0,475961 -0,158610 0,153822 0,709324
-0,080713 0,088548 -0,189368 -0,528665 0,262996 -0,311949 -0,254943 0,084168 -0,078261 -0,071600 0,247019 0,078021 -0,089146 0,352390 -0,263374 0,080592 -0,179638 -0,250397 0,084852 -0,078124 -0,288794
0,080236 -0,081768 0,321093 0,552804 -0,240114 0,154904 0,236375 -0,083997 0,084258 0,106670 -0,244362 -0,084115 0,083620 -0,364632 0,244618 -0,081135 0,331666 0,241059 -0,082674 0,079586 0,307131
-0,130140 0,142285 -0,278183 -0,707620 0,379538 -0,487616 -0,376718 0,136925 -0,128455 -0,127019 0,367464 0,128031 -0,143849 0,514703 -0,378623 0,130409 -0,266879 -0,372193 0,137357 -0,125861 -0,507257
-0,270478 0,290326 -0,590022 -0,949088 0,670403 -0,770598 -0,669470 0,283500 -0,270450 -0,280407 0,662469 0,269672 -0,293598 0,830363 -0,669853 0,271526 -0,582312 -0,666528 0,283405 -0,262876 -0,881233
0,093974 -0,096202 0,427866 0,551604 -0,247923 0,022593 0,248271 -0,098573 0,098358 0,123360 -0,260002 -0,098151 0,098067 -0,385455 0,251568 -0,095027 0,440010 0,255335 -0,097164 0,092598 0,351385
0,469149 -0,491057 0,935103 0,995811 -0,877280 0,829057 0,878650 -0,488817 0,476540 0,524668 -0,881464 -0,475458 0,496848 -0,969327 0,878173 -0,471949 0,937519 0,881044 -0,486461 0,459203 0,901329
-0,406135 0,431089 -0,728194 -0,984591 0,812861 -0,949219 -0,814967 0,423702 -0,407739 -0,423862 0,809169 0,406677 -0,435178 0,934066 -0,811258 0,407898 -0,725068 -0,812595 0,423230 -0,395328 -0,922085
0,731606 -0,762609 0,995517 0,999873 -0,980206 0,981997 0,981040 -0,757755 0,739737 0,793352 -0,981556 -0,738261 0,769823 -0,998056 0,980223 -0,735104 0,995663 0,981684 -0,755224 0,717418 -0,017822
-0,268770 0,287197 -0,306496 -0,850554 0,586790 -0,939421 -0,589664 0,281104 -0,268973 -0,269239 0,577704 0,268179 -0,289156 0,753772 -0,583319 0,269945 -0,304050 -0,583490 0,281237 -0,260128 -0,808747
0,683179 -0,719451 0,994723 0,998037 -0,956456 0,954324 0,960220 -0,713986 0,692834 0,753444 -0,961177 -0,691062 0,727374 -0,991272 0,956043 -0,687386 0,994616 0,962315 -0,711113 0,665713 0,660643
-0,677612 0,707026 -0,936623 -0,993186 0,952045 -0,999340 -0,955882 0,700452 -0,682091 -0,702427 0,953885 0,680632 -0,710852 0,988184 -0,950782 0,680528 -0,936511 -0,956201 0,699540 -0,661513 -0,741032
