experiment,architecture,batch_size,activation,learning_rate,momentum,l2_reg,train_mse,val_mse,rmse,normalized
baseline,7-20-10-1,32,Tanh,0.01,0.9,0.0001,17.344468766725228,18.45897659635253,4.296391113056694,False
baseline_norm,7-20-10-1,32,Tanh,0.01,0.9,0.0001,0.4162400377828879,0.4948449372155319,0.7034521570196028,True
deep,7-50-20-10-1,32,Tanh,0.01,0.9,0.001,17.26678960247369,18.425644990499983,4.292510336679457,False
deep_norm,7-50-20-10-1,32,Tanh,0.01,0.9,0.001,0.2682005415182222,0.6816974170235588,0.8256496938917611,True
grid_deep_lr0.01_m0.9_l20.0001_relu_bs16,7-30-20-10-1,16,Relu,0.01,0.9,0.0001,17.262597356619004,18.42729229393136,4.292702213516721,True
grid_deep_lr0.01_m0.9_l20.0001_relu_bs32,7-30-20-10-1,32,Relu,0.01,0.9,0.0001,0.4461812994581441,0.5758580386651223,0.7588531074359005,True
grid_deep_lr0.01_m0.9_l20.0001_tanh_bs16,7-30-20-10-1,16,Tanh,0.01,0.9,0.0001,5.398678278754076,5.76093249221133,2.4001942613487204,True
grid_deep_lr0.01_m0.9_l20.0001_tanh_bs32,7-30-20-10-1,32,Tanh,0.01,0.9,0.0001,0.331520049207663,0.6811952133899405,0.8253455115222597,True
grid_deep_lr0.01_m0.9_l20.001_relu_bs16,7-30-20-10-1,16,Relu,0.01,0.9,0.001,17.258476819803775,18.440935817660066,4.294291072768597,True
grid_deep_lr0.01_m0.9_l20.001_relu_bs32,7-30-20-10-1,32,Relu,0.01,0.9,0.001,0.4093278801015477,0.5835177080016011,0.7638833078432864,True
grid_deep_lr0.01_m0.9_l20.001_tanh_bs16,7-30-20-10-1,16,Tanh,0.01,0.9,0.001,0.4066142673162681,0.5869423053194387,0.7661215995646113,True
grid_deep_lr0.01_m0.9_l20.001_tanh_bs32,7-30-20-10-1,32,Tanh,0.01,0.9,0.001,0.3428500498337331,0.6809163443408702,0.8251765534362148,True
grid_medium_lr0.01_m0.9_l20.0001_relu_bs16,7-30-15-1,16,Relu,0.01,0.9,0.0001,0.4774179009648841,0.5104895282598509,0.7144854989850046,True
grid_medium_lr0.01_m0.9_l20.0001_relu_bs32,7-30-15-1,32,Relu,0.01,0.9,0.0001,0.4023343942647325,0.519656696143645,0.7208721773959964,True
grid_medium_lr0.01_m0.9_l20.0001_tanh_bs16,7-30-15-1,16,Tanh,0.01,0.9,0.0001,0.3835280245565706,0.5970804627520199,0.7727098179472162,True
grid_medium_lr0.01_m0.9_l20.0001_tanh_bs32,7-30-15-1,32,Tanh,0.01,0.9,0.0001,0.3687307140591627,0.5920068430264214,0.7694198093540492,True
grid_medium_lr0.01_m0.9_l20.001_relu_bs16,7-30-15-1,16,Relu,0.01,0.9,0.001,0.5354045416652635,0.606053749984984,0.7784945407547724,True
grid_medium_lr0.01_m0.9_l20.001_relu_bs32,7-30-15-1,32,Relu,0.01,0.9,0.001,0.4131210640509213,0.526730969175001,0.725762336564113,True
grid_medium_lr0.01_m0.9_l20.001_tanh_bs16,7-30-15-1,16,Tanh,0.01,0.9,0.001,0.3866325734659918,0.5626303116339443,0.7500868693917687,True
grid_medium_lr0.01_m0.9_l20.001_tanh_bs32,7-30-15-1,32,Tanh,0.01,0.9,0.001,0.3912816778811938,0.6179349994440927,0.7860884170652133,True
grid_simple15_lr0.01_m0.9_l20.0001_relu_bs16,7-15-1,16,Relu,0.01,0.9,0.0001,0.5150761382764106,0.5360505354648087,0.7321547209878584,True
grid_simple15_lr0.01_m0.9_l20.0001_relu_bs32,7-15-1,32,Relu,0.01,0.9,0.0001,0.4702357084093576,0.4995067835104368,0.7067579384134548,True
grid_simple15_lr0.01_m0.9_l20.0001_tanh_bs16,7-15-1,16,Tanh,0.01,0.9,0.0001,0.493167987348481,0.5071079844929461,0.7121151483383471,True
grid_simple15_lr0.01_m0.9_l20.0001_tanh_bs32,7-15-1,32,Tanh,0.01,0.9,0.0001,0.4604823525874229,0.4631954909400103,0.6805846684579445,True
grid_simple15_lr0.01_m0.9_l20.001_relu_bs16,7-15-1,16,Relu,0.01,0.9,0.001,0.4681620234383711,0.5025135034395646,0.7088818684658006,True
grid_simple15_lr0.01_m0.9_l20.001_relu_bs32,7-15-1,32,Relu,0.01,0.9,0.001,0.4516068277973292,0.4774893554768882,0.6910060459047288,True
grid_simple15_lr0.01_m0.9_l20.001_tanh_bs16,7-15-1,16,Tanh,0.01,0.9,0.001,0.6839704831585431,0.7133044356616727,0.8445735229461511,True
grid_simple15_lr0.01_m0.9_l20.001_tanh_bs32,7-15-1,32,Tanh,0.01,0.9,0.001,0.4579508439141092,0.4606945299005441,0.6787448194281442,True
grid_simple_lr0.01_m0.9_l20.0001_relu_bs16,7-10-1,16,Relu,0.01,0.9,0.0001,0.5368810764506352,0.5674998013253478,0.7533258268009586,True
grid_simple_lr0.01_m0.9_l20.0001_relu_bs32,7-10-1,32,Relu,0.01,0.9,0.0001,0.5212594117745818,0.5349547729294971,0.73140602467405,True
grid_simple_lr0.01_m0.9_l20.0001_tanh_bs16,7-10-1,16,Tanh,0.01,0.9,0.0001,0.6027475013966941,0.6260351655921098,0.7912238403840659,True
grid_simple_lr0.01_m0.9_l20.0001_tanh_bs32,7-10-1,32,Tanh,0.01,0.9,0.0001,0.6350214408513025,0.6470166254031298,0.8043734365350026,True
grid_simple_lr0.01_m0.9_l20.001_relu_bs16,7-10-1,16,Relu,0.01,0.9,0.001,0.5114675645249093,0.5406270710186889,0.7352734668262475,True
grid_simple_lr0.01_m0.9_l20.001_relu_bs32,7-10-1,32,Relu,0.01,0.9,0.001,0.4733803058653048,0.487307447513699,0.6980740988703842,True
grid_simple_lr0.01_m0.9_l20.001_tanh_bs16,7-10-1,16,Tanh,0.01,0.9,0.001,0.6604153147224204,0.6716264244196352,0.8195281718279337,True
grid_simple_lr0.01_m0.9_l20.001_tanh_bs32,7-10-1,32,Tanh,0.01,0.9,0.001,0.5078807685525926,0.5130980038436231,0.7163085953997922,True
grid_standard_lr0.01_m0.9_l20.0001_relu_bs16,7-20-10-1,16,Relu,0.01,0.9,0.0001,7.311044951090468,8.201947519396589,2.863904244103945,True
grid_standard_lr0.01_m0.9_l20.0001_relu_bs32,7-20-10-1,32,Relu,0.01,0.9,0.0001,0.4326111659597971,0.506599723205064,0.711758191526493,True
grid_standard_lr0.01_m0.9_l20.0001_tanh_bs16,7-20-10-1,16,Tanh,0.01,0.9,0.0001,0.4966921233466809,0.5784573506146079,0.7605638373040148,True
grid_standard_lr0.01_m0.9_l20.0001_tanh_bs32,7-20-10-1,32,Tanh,0.01,0.9,0.0001,0.4337069187522048,0.5431469881882839,0.7369850664621935,True
grid_standard_lr0.01_m0.9_l20.001_relu_bs16,7-20-10-1,16,Relu,0.01,0.9,0.001,17.28404310095171,18.4986358790229,4.301004054755459,True
grid_standard_lr0.01_m0.9_l20.001_relu_bs32,7-20-10-1,32,Relu,0.01,0.9,0.001,0.4414543396047896,0.5138692811752266,0.7168467626872751,True
grid_standard_lr0.01_m0.9_l20.001_tanh_bs16,7-20-10-1,16,Tanh,0.01,0.9,0.001,0.478584969434365,0.5582704589645632,0.7471749855051112,True
grid_standard_lr0.01_m0.9_l20.001_tanh_bs32,7-20-10-1,32,Tanh,0.01,0.9,0.001,0.4365000267701848,0.5295714171258115,0.7277165774707977,True
grid_tiny_lr0.01_m0.9_l20.0001_relu_bs16,7-7-1,16,Relu,0.01,0.9,0.0001,0.7240995484692043,0.757377281731446,0.8702742566176745,True
