Experiment,MSE,RMSE,Reduction,Converged,Overfitting,Stable,Weights,Status
Baseline (Sans norm),17.344468766725228,18.45897659635253,0.6913599398890069,Yes,No,Yes,OK,Poor
Baseline (Avec norm),0.4162400377828879,0.4948449372155319,10.37040139168239,Yes,No,Yes,OK,Excellent
LR High (Sans norm),17.69283842994634,18.72677997645059,-2.454540914394515,No,No,No,OK,Poor
LR High (Avec norm),4.791008089981412,5.423146365871268,19.053888213471488,No,No,No,Explosion,Good
No Momentum (Sans norm),17.30989659311536,18.439034432876305,-0.13003229171506195,Yes,No,Yes,High,Poor
No Momentum (Avec norm),0.4554460252426323,0.5147936091453278,20.66527322879508,Yes,No,Yes,OK,Excellent
Deep (Sans norm),17.26678960247369,18.425644990499983,0.23712061947056853,Yes,No,Yes,OK,Poor
Deep (Avec norm),17.26157307396089,18.45346714469768,-0.010714696790573857,Yes,No,Yes,OK,Poor
ReLU (Sans norm),17.274094868379898,18.425573608498933,-0.05903137019449699,Yes,No,Yes,Explosion,Poor
ReLU (Avec norm),17.263422822032283,18.426796984714617,-0.018555696020026415,Yes,No,Yes,Explosion,Poor
No Reg (Sans norm),17.389281558743374,18.488726540498156,-0.7014928048308819,Yes,No,Yes,OK,Poor
No Reg (Avec norm),0.4143063652529132,0.4906843362987633,12.409663801976754,Yes,No,Yes,OK,Excellent
Simple (Sans norm),17.959912992619653,19.323706013943607,-3.925099713454939,No,Yes,Yes,OK,Poor
Simple (Avec norm),17.844106389709705,19.191980318188683,-2.453195609329716,No,No,Yes,OK,Poor
