Neuron_0_of_Layer_0 Neuron_1_of_Layer_0 Neuron_2_of_Layer_0 Neuron_3_of_Layer_0 Neuron_4_of_Layer_0 Neuron_5_of_Layer_0 Neuron_6_of_Layer_0 Neuron_7_of_Layer_0 Neuron_8_of_Layer_0 Neuron_9_of_Layer_0 Neuron_10_of_Layer_0 Neuron_11_of_Layer_0 Neuron_12_of_Layer_0 Neuron_13_of_Layer_0 Neuron_14_of_Layer_0 Neuron_15_of_Layer_0 Neuron_16_of_Layer_0 Neuron_17_of_Layer_0 Neuron_18_of_Layer_0 Neuron_19_of_Layer_0 Neuron_20_of_Layer_0 Neuron_21_of_Layer_0 Neuron_22_of_Layer_0 Neuron_23_of_Layer_0 Neuron_24_of_Layer_0 Neuron_25_of_Layer_0 Neuron_26_of_Layer_0 Neuron_27_of_Layer_0 Neuron_28_of_Layer_0 Neuron_29_of_Layer_0 Neuron_30_of_Layer_0 Neuron_31_of_Layer_0 Neuron_32_of_Layer_0 Neuron_33_of_Layer_0 Neuron_34_of_Layer_0 Neuron_35_of_Layer_0 Neuron_36_of_Layer_0 Neuron_37_of_Layer_0 Neuron_38_of_Layer_0 Neuron_39_of_Layer_0 Neuron_40_of_Layer_0 Neuron_41_of_Layer_0 Neuron_42_of_Layer_0 Neuron_43_of_Layer_0 Neuron_44_of_Layer_0 Neuron_45_of_Layer_0 Neuron_46_of_Layer_0 Neuron_47_of_Layer_0 Neuron_48_of_Layer_0 Neuron_49_of_Layer_0 Neuron_0_of_Layer_1 Neuron_1_of_Layer_1 Neuron_2_of_Layer_1 Neuron_3_of_Layer_1 Neuron_4_of_Layer_1 Neuron_5_of_Layer_1 Neuron_6_of_Layer_1 Neuron_7_of_Layer_1 Neuron_8_of_Layer_1 Neuron_9_of_Layer_1 Neuron_10_of_Layer_1 Neuron_11_of_Layer_1 Neuron_12_of_Layer_1 Neuron_13_of_Layer_1 Neuron_14_of_Layer_1 Neuron_15_of_Layer_1 Neuron_16_of_Layer_1 Neuron_17_of_Layer_1 Neuron_18_of_Layer_1 Neuron_19_of_Layer_1 Neuron_0_of_Layer_2 Neuron_1_of_Layer_2 Neuron_2_of_Layer_2 Neuron_3_of_Layer_2 Neuron_4_of_Layer_2 Neuron_5_of_Layer_2 Neuron_6_of_Layer_2 Neuron_7_of_Layer_2 Neuron_8_of_Layer_2 Neuron_9_of_Layer_2 Neuron_0_of_Layer_3
0,944528 0,992246 -0,802964 0,871046 0,086787 0,999542 -0,447392 -0,399579 -0,072541 -0,970036 0,995536 -0,129885 0,913651 0,749485 0,045471 0,005199 0,999319 -0,890943 -0,982381 -0,984445 -0,964734 0,861756 0,032064 -0,513569 -0,600307 -0,767596 -0,901001 0,476935 -0,999668 0,371199 -0,882210 -0,756059 -0,992249 -0,979814 -0,810297 0,657582 -0,526144 -0,964361 -0,552353 0,627098 0,227724 0,650938 -0,999998 0,523916 0,917289 -0,854511 0,629532 -0,977066 0,753521 0,933287 -0,301040 0,998894 1,000000 -0,999999 0,989167 -0,867653 0,999752 0,999850 0,153395 0,397531 -0,978258 1,000000 0,999999 -0,999999 1,000000 0,986469 -0,999996 0,999963 0,999792 -0,993705 0,999925 0,994925 0,195125 -0,998590 -0,999226 -1,000000 0,999827 0,999559 -0,999840 -0,999998 7,610814
0,046638 0,852605 -0,998692 0,998400 0,911035 0,999650 -0,839851 -0,814543 -0,479540 -0,979283 0,995140 -0,062161 0,990366 0,993049 -0,679504 0,299894 0,990567 -0,984768 0,622102 -0,952281 0,898378 -0,982784 0,595756 0,634801 -0,520667 -0,982853 -0,998228 0,977803 -0,941004 0,892060 -0,897873 0,698817 0,901875 -0,995354 -0,983179 0,944037 0,652050 -0,990601 -0,201658 -0,198361 0,809881 0,789781 -0,999983 -0,769144 0,943745 -0,989452 0,969963 -0,154691 0,991846 0,918113 0,997607 0,999991 1,000000 -0,999998 -0,682401 -0,999993 0,997809 1,000000 0,842979 0,022638 0,083952 1,000000 1,000000 -0,999995 1,000000 0,998524 -1,000000 0,930776 1,000000 -0,999948 0,999429 0,394731 0,994280 -0,999224 -0,999999 -1,000000 0,999703 0,999941 -0,999638 -0,999963 4,963207
-0,950667 0,985905 -0,946853 0,983733 0,804984 0,999998 -0,910334 -0,768850 0,455867 -0,914678 0,999820 0,272871 0,998565 0,996166 -0,871784 0,575168 0,232517 -0,999251 0,995457 -0,839935 -0,009867 -0,978871 0,501345 0,940042 -0,976060 -0,998334 -0,999793 0,999722 -0,944776 0,332254 -0,784536 0,369372 0,986837 -0,996006 -0,999694 0,948814 -0,219549 -0,995484 0,950865 0,235352 0,997027 0,845042 -0,998860 -0,309779 -0,216934 -0,966128 0,992509 -0,572809 0,992607 0,994051 1,000000 0,999999 1,000000 -0,999999 -0,979692 -1,000000 0,999401 1,000000 0,683390 -0,121459 0,988255 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 0,990751 1,000000 -0,999994 0,999423 -0,359516 0,994030 -0,999615 -1,000000 -0,999997 0,997197 0,999916 -0,999784 -0,999922 3,026237
0,932034 0,450954 0,999855 -0,473205 -0,721206 0,997391 -0,202971 -0,852119 -0,934834 -0,999935 0,998887 0,077368 -0,064865 0,780112 -0,449252 0,511110 0,862488 -0,264885 0,916226 -0,993221 0,962731 0,189985 0,901057 0,873285 -0,972409 0,342301 -0,999705 0,999975 -0,999966 -0,844379 -0,862062 -0,842773 0,904794 0,945201 -0,998423 -0,980667 -0,575708 -0,998820 0,998544 0,999124 -0,696186 -0,988467 -0,998718 0,997902 -0,934011 -0,976166 0,947346 -0,999979 0,372052 0,998769 -0,325799 1,000000 1,000000 -0,995063 0,994163 -0,979660 1,000000 1,000000 0,469680 0,989240 -0,968814 1,000000 1,000000 -0,999983 1,000000 0,999999 -0,994441 0,999981 0,999516 -0,856844 0,999984 0,999820 -0,681011 -0,999885 -0,997578 -0,999999 0,999980 0,984465 -0,999991 -0,999995 8,946566
-0,542032 0,967296 0,987227 -0,996243 -0,999938 0,999197 0,360853 -0,995783 -0,924661 -0,998995 0,997546 0,984329 0,451566 -0,999738 -0,511890 0,358779 -0,438456 0,957564 0,776467 0,149044 -0,998255 0,959537 0,997469 -0,782339 -0,998036 -0,905823 -0,861268 0,999082 -1,000000 -0,845328 0,073372 -0,999447 0,011376 0,997079 -0,999996 -0,385544 -0,982089 -0,999977 0,999990 0,985657 -0,256126 -0,999534 -0,954508 0,999676 -0,918600 -0,880278 0,989669 -1,000000 0,965526 0,998204 1,000000 1,000000 1,000000 0,547935 -0,882085 -1,000000 0,999907 1,000000 0,981627 -0,193166 -0,966021 1,000000 1,000000 -0,998828 1,000000 1,000000 -0,999999 0,999970 1,000000 -0,998022 0,999813 0,103205 0,997245 -0,999369 -1,000000 -0,999971 0,998916 0,994498 -0,999937 -0,999965 3,994796
-0,998988 0,875762 1,000000 -0,999543 -0,970942 0,999978 -0,888661 -0,998937 0,858253 -0,999963 0,999293 0,844425 0,239520 0,843478 -0,921405 0,767603 -0,998275 -0,411609 0,999977 0,402923 0,797470 0,933275 0,999893 0,999196 -0,999974 0,131437 -0,999788 1,000000 -0,954643 0,192236 0,449134 0,843963 0,999990 0,942420 -0,999997 -0,187659 -0,999905 -0,999999 0,999994 0,994046 0,999014 -0,860064 -0,104488 0,999999 -0,999916 -0,999459 0,999907 -0,997927 0,974272 0,999987 1,000000 0,999682 1,000000 -0,999531 -0,999994 -1,000000 0,970390 1,000000 0,998263 -0,999996 0,996993 1,000000 1,000000 -0,999764 1,000000 1,000000 -1,000000 0,705516 1,000000 -1,000000 0,999564 -0,904428 0,999205 -0,999579 -1,000000 -0,999670 0,985270 0,993984 -0,999654 -0,999787 1,992094
-0,514889 0,998997 -0,995393 0,999545 0,560698 0,999994 -0,995312 -0,993047 0,997987 -0,999961 0,985130 -0,960691 0,394020 0,994088 -0,975400 0,965652 0,998071 -0,999743 -0,697486 0,734600 0,673260 0,962972 0,997643 0,999261 -0,819534 -0,993197 -0,978379 0,999869 -0,452930 0,999924 -0,997118 0,999019 -0,698285 -0,999996 -0,986771 0,999950 -0,999880 -1,000000 -0,706216 -0,968425 0,997006 0,999922 -1,000000 0,996771 0,958601 -0,999999 0,999846 0,992969 0,999999 0,993860 1,000000 0,982051 1,000000 -1,000000 -0,999999 -1,000000 -0,996757 1,000000 0,994125 -1,000000 0,999759 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,993347 1,000000 -1,000000 0,941539 -0,999997 0,999925 -0,916054 -1,000000 -0,999606 0,833212 0,999832 -0,906455 -0,999572 1,142156
0,592616 -0,311543 -0,824885 0,999989 0,998200 0,973970 0,399200 0,124065 0,995768 -0,999867 0,595296 -0,999801 0,986787 1,000000 -0,207263 0,177273 0,999851 -0,985789 -0,959066 -0,997494 0,996240 -0,593744 0,997897 0,998102 0,906014 0,754531 -0,999996 0,999548 -0,915682 0,984040 -0,999995 0,974490 0,266950 -0,993910 0,825113 0,408980 -0,994051 -0,999997 -0,943003 0,986212 0,955049 0,870930 -1,000000 0,790053 0,986248 -0,999866 0,991578 0,308450 0,999364 0,619295 -0,232871 0,997872 1,000000 -1,000000 0,826581 -0,396507 0,999999 0,999999 0,837425 0,987339 0,994991 1,000000 1,000000 -1,000000 1,000000 0,217381 -1,000000 0,894129 0,999691 -0,999996 0,999957 0,998208 -0,089156 -0,999917 -0,999111 -0,999954 0,998624 0,991411 -0,999979 -0,999693 7,667327
-0,991658 -0,835643 0,188901 -0,675852 -0,999940 0,855970 -0,975993 -1,000000 -0,990296 -1,000000 0,807298 0,999883 -0,996756 -0,993897 -0,992721 0,998929 -0,961798 0,985234 0,999978 0,988728 1,000000 -0,999990 1,000000 0,999769 -0,956851 -0,865409 -0,466831 1,000000 -0,833868 1,000000 0,999177 0,990275 1,000000 0,953806 -1,000000 0,998631 -0,280153 -1,000000 1,000000 -0,885663 0,536244 0,138861 -0,467909 0,999999 -0,999522 -1,000000 1,000000 -0,929043 1,000000 0,999863 1,000000 0,980218 1,000000 -0,664936 -1,000000 -1,000000 -0,999857 1,000000 0,999999 -1,000000 0,999962 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 0,983337 1,000000 -1,000000 0,883592 -0,999942 0,999969 -0,919979 -1,000000 -0,999840 0,870541 0,998221 -0,999989 -0,999337 1,238360
0,857716 0,996213 0,976015 0,999848 0,998822 1,000000 -0,999946 -0,912799 0,868773 -0,999968 0,999995 -0,950166 0,735461 1,000000 -0,980202 0,988723 0,986392 -1,000000 0,999687 -0,979276 0,999988 -0,984351 -0,906973 1,000000 -0,866763 -0,989576 -0,999997 1,000000 0,616452 0,955725 -0,993673 0,999967 0,922284 -0,999998 -0,999122 0,915701 -0,215625 -0,998308 0,334446 0,434147 0,998037 0,999419 -1,000000 0,946727 -0,663598 -0,999982 0,996684 0,984868 0,986921 0,999983 1,000000 1,000000 1,000000 -0,999972 -1,000000 -1,000000 -0,881282 1,000000 0,999464 -0,959464 0,999996 1,000000 1,000000 -1,000000 1,000000 1,000000 -1,000000 -0,989263 1,000000 -1,000000 0,993845 -0,999998 0,999851 -0,994520 -1,000000 -0,999668 -0,567405 0,999921 -0,987871 -0,999643 1,042813
-0,753377 -0,884774 0,999970 0,930783 0,998666 0,999046 0,803365 0,671084 0,992886 -0,998262 0,997155 -0,998230 0,999411 1,000000 -0,011669 -0,844338 0,772389 -0,963382 0,967732 -0,999948 0,957846 -0,568352 0,984505 0,999706 -0,936709 0,971129 -1,000000 0,999997 -0,984643 -0,997297 -0,999971 0,473132 0,994611 0,543976 -0,829188 -0,998843 -0,979303 -0,998065 0,935839 0,999989 0,998584 -0,964651 -0,999857 0,967318 -0,831640 -0,622630 0,908364 -0,997120 -0,450382 0,996003 -0,849340 0,999967 1,000000 -0,999959 0,999984 0,959607 1,000000 1,000000 -0,999968 0,999907 0,909927 1,000000 0,999990 -0,999537 1,000000 1,000000 -0,999723 1,000000 0,950850 0,999998 0,999999 1,000000 -0,996728 -0,999999 -0,859772 -0,999914 0,993091 0,991245 -0,999995 -0,999426 9,733469
